date,scan_time,ticker,mode,score,pct_from_open,rvol,entry_price,return_1h_pct,max_gain_1h_pct,stop_hit_1h,return_2h_pct,max_gain_2h_pct,stop_hit_2h,return_4h_pct,max_gain_4h_pct,stop_hit_4h,return_eod_pct,max_gain_session_pct,level_price,level_touches,level_type,dist_pct,atr,stop_loss,return_1d_pct,max_gain_1d_pct,stop_hit_1d,return_3d_pct,max_gain_3d_pct,stop_hit_3d,return_5d_pct,max_gain_5d_pct,stop_hit_5d
2026-04-17,15:00 BST,ANY,MODE1_MOMENTUM,7.53,5.06,8.01,1.6285,0.1,0.71,False,-1.76,0.71,True,-5.43,0.71,True,-6.66,0.71,,,,,,,,,,,,,,,
2026-04-17,15:30 BST,ANY,MODE1_MOMENTUM,7.58,5.16,5.83,1.63,-1.84,0.61,True,-1.23,0.61,True,-5.52,0.61,True,-6.75,0.61,,,,,,,,,,,,,,,
2026-05-06,17:00 BST,ANY,MODE1_MOMENTUM,9.68,9.36,5.07,1.6842,3.45,4.95,False,6.88,7.47,False,5.69,8.66,False,5.69,8.66,,,,,,,,,,,,,,,
2026-05-06,17:30 BST,ANY,MODE1_MOMENTUM,10.0,13.64,5.46,1.75,2.29,2.29,False,2.86,4.57,False,1.71,4.57,False,1.71,4.57,,,,,,,,,,,,,,,
2026-05-06,18:00 BST,ANY,MODE1_MOMENTUM,10.0,13.14,5.0,1.7423,3.31,3.89,False,1.88,5.03,False,2.16,5.03,False,2.16,5.03,,,,,,,,,,,,,,,
2026-05-07,15:00 BST,ANY,MODE1_MOMENTUM,9.59,9.19,20.25,2.02,-0.45,1.94,False,-0.0,3.91,False,-3.96,3.91,True,-1.98,3.91,,,,,,,,,,,,,,,
2026-05-07,15:30 BST,ANY,MODE1_MOMENTUM,9.87,9.74,13.45,2.0301,2.46,3.39,False,-5.95,3.39,True,-2.96,3.39,True,-2.47,3.39,,,,,,,,,,,,,,,
2026-05-07,16:00 BST,ANY,MODE1_MOMENTUM,9.35,8.7,9.93,2.011,0.45,4.38,False,-6.02,4.38,True,-0.72,4.38,True,-1.54,4.38,,,,,,,,,,,,,,,
2026-05-07,16:30 BST,ANY,MODE1_MOMENTUM,10.0,12.43,8.26,2.08,-8.2,0.48,True,-9.14,0.48,True,-4.81,0.48,True,-4.81,0.48,,,,,,,,,,,,,,,
2026-05-07,17:00 BST,ANY,MODE1_MOMENTUM,9.59,9.19,7.41,2.02,-6.44,-0.5,True,-3.96,-0.5,True,-1.98,-0.0,True,-1.98,-0.0,,,,,,,,,,,,,,,
2026-05-11,14:30 BST,ANY,RESISTANCE_WARNING,6.08,,,1.82,,,,,,,,,,,,1.8525,4.0,resistance,1.75,0.14,1.6869,1.65,8.79,False,33.52,36.26,False,-7.69,36.26,True
2026-05-13,14:30 BST,ANY,RESISTANCE_WARNING,8.78,,,1.85,,,,,,,,,,,,1.8525,4.0,resistance,0.13,0.16,1.6733,31.35,34.05,False,-9.19,34.05,True,-0.54,34.05,True
2026-05-14,14:30 BST,ANY,RESISTANCE_WARNING,5.18,,,2.13,,,,,,,,,,,,2.18,4.0,resistance,2.29,0.18,1.9833,7.51,14.04,False,-15.49,14.04,True,-9.39,14.04,True
2026-05-21,14:30 BST,ANY,RESISTANCE_WARNING,4.16,,,1.84,,,,,,,,,,,,1.895,4.0,resistance,2.9,0.26,1.6158,2.72,11.41,False,3.26,11.41,False,3.26,11.41,False
2026-05-22,14:30 BST,ANY,SUPPORT_BOUNCE,5.92,,,1.93,,,,,,,,,,,,1.895,4.0,support,1.85,0.26,1.6172,-3.63,2.07,False,-0.52,4.04,False,108.29,150.26,False
