scan_time,ticker,price,pct_from_open,rvol,accelerating,level_price,level_touches,level_type,dist_pct,atr,mode,score,stop_loss,stop_reason,entry_note,reason,rsi_at_signal
2026-07-01 16:40 BST,UNTN,28.0,,,,27.99,21.0,support,0.04,0.06,SUPPORT_BOUNCE,8.94,27.5857,Touches: 21 · Level low: $27.65 · ATR(14): $0.06 · Stop: $27.5857,Near support $27.99 · enter on bounce candle · can hold multi-day,21 touches at $27.99 · 0.0% away · ATR $0.06,
2026-07-01 16:38 BST,TEL,203.14,,,,203.04,43.0,support,0.05,6.64,SUPPORT_BOUNCE,8.92,192.8582,Touches: 43 · Level low: $199.4989 · ATR(14): $6.64 · Stop: $192.8582,Near support $203.04 · enter on bounce candle · can hold multi-day,43 touches at $203.04 · 0.0% away · ATR $6.64,
2026-07-01 16:39 BST,TGT,128.655,,,,128.5851,29.0,support,0.05,4.61,SUPPORT_BOUNCE,8.91,122.8771,Touches: 29 · Level low: $127.49 · ATR(14): $4.61 · Stop: $122.8771,Near support $128.5851 · enter on bounce candle · can hold multi-day,29 touches at $128.5851 · 0.1% away · ATR $4.61,
2026-07-01 16:38 BST,TECH,70.73,,,,70.69,15.0,support,0.06,2.57,SUPPORT_BOUNCE,8.91,66.949,Touches: 15 · Level low: $69.5176 · ATR(14): $2.57 · Stop: $66.949,Near support $70.69 · enter on bounce candle · can hold multi-day,15 touches at $70.69 · 0.1% away · ATR $2.57,
2026-07-01 16:39 BST,TX,42.195,,,,42.1713,55.0,support,0.06,1.53,SUPPORT_BOUNCE,8.91,40.1362,Touches: 55 · Level low: $41.6662 · ATR(14): $1.53 · Stop: $40.1362,Near support $42.1713 · enter on bounce candle · can hold multi-day,55 touches at $42.1713 · 0.1% away · ATR $1.53,
2026-07-01 16:39 BST,TNYA,0.7395,,,,0.74,36.0,resistance,0.07,0.04,RESISTANCE_WARNING,8.89,0.6876,Touches: 36 · Level low: $0.729 · ATR(14): $0.04 · Stop: $0.6876,Near resistance $0.74 · consider exit or avoid entry,36 touches at $0.74 · 0.1% away · ATR $0.04,
2026-07-01 16:39 BST,TFII,142.84,,,,142.7436,23.0,support,0.07,4.19,SUPPORT_BOUNCE,8.89,137.1781,Touches: 23 · Level low: $141.3681 · ATR(14): $4.19 · Stop: $137.1781,Near support $142.7436 · enter on bounce candle · can hold multi-day,23 touches at $142.7436 · 0.1% away · ATR $4.19,
2026-07-01 16:39 BST,TMDX,70.18,,,,70.23,12.0,resistance,0.07,4.68,RESISTANCE_WARNING,8.88,65.0175,Touches: 12 · Level low: $69.7 · ATR(14): $4.68 · Stop: $65.0175,Near resistance $70.23 · consider exit or avoid entry,12 touches at $70.23 · 0.1% away · ATR $4.68,
2026-07-01 16:38 BST,TECK,59.505,,,,59.4583,35.0,support,0.08,2.52,SUPPORT_BOUNCE,8.87,56.1244,Touches: 35 · Level low: $58.6394 · ATR(14): $2.52 · Stop: $56.1244,Near support $59.4583 · enter on bounce candle · can hold multi-day,35 touches at $59.4583 · 0.1% away · ATR $2.52,
2026-07-01 16:39 BST,TWO,12.41,,,,12.4,72.0,support,0.08,0.1,SUPPORT_BOUNCE,8.87,12.1786,Touches: 72 · Level low: $12.28 · ATR(14): $0.1 · Stop: $12.1786,Near support $12.4 · enter on bounce candle · can hold multi-day,72 touches at $12.4 · 0.1% away · ATR $0.1,
